Churn_Status,Customers,Average_Age,Average_Credit_Score,Average_Tenure,Average_Balance,Average_Products,Average_Salary,Active_Customer_Rate,Credit_Card_Ownership_Rate
Churned,2037,44.84,645.35,4.93,91108.54,1.48,101465.68,36.08,69.91
Retained,7963,37.41,651.85,5.03,72745.3,1.54,99738.39,55.46,70.71
