EDA_Risk_Segment,Customers,Churned_Customers,Average_Age,Average_Balance,Active_Rate,Churn_Rate,Customer_Percentage
Higher Observed Risk,5987,1818,41.31,92615.8,40.52,30.37,59.87
Lower Observed Risk,4013,219,35.35,52421.66,67.9,5.46,40.13
