Geography,Gender,Customers,Churned_Customers,Churn_Rate
France,Female,2261,460,20.34
France,Male,2753,350,12.71
Germany,Female,1193,448,37.55
Germany,Male,1316,366,27.81
Spain,Female,1089,231,21.21
Spain,Male,1388,182,13.11
