Activity_Status,Customers,Churned_Customers,Average_Age,Average_Balance,Average_Products,Churn_Rate,Customer_Percentage
Active,5151,735,39.79,75875.42,1.54,14.27,51.51
Inactive,4849,1302,38.0,77134.38,1.52,26.85,48.49
