Credit_Card_Status,Customers,Churned_Customers,Average_Age,Average_Balance,Average_Products,Active_Rate,Churn_Rate,Customer_Percentage
Has Credit Card,7055,1424,38.84,75886.91,1.53,51.13,20.18,70.55
No Credit Card,2945,613,39.11,77920.79,1.53,52.43,20.81,29.45
